epoch, inception_score 
0, 1.89
1, 1.83
2, 1.89
3, 1.75
4, 1.77
5, 1.71
6, 1.86
7, 1.96
8, 1.86
9, 1.76
10, 1.66
11, 1.82
12, 1.81
13, 1.87
14, 1.9
15, 1.8
16, 1.87
17, 1.94
18, 1.87
19, 1.81
20, 2.05
21, 1.78
22, 1.95
23, 1.94
24, 2.07
25, 1.86
26, 2.04
27, 1.76
28, 1.8
29, 2.04
30, 1.95
31, 2.09
32, 1.92
33, 1.85
34, 1.79
35, 2.03
36, 1.89
37, 2.01
38, 1.85
39, 1.85
40, 1.88
41, 1.97
42, 1.95
43, 1.79
44, 2.05
45, 2.09
46, 1.84
47, 1.96
48, 1.9
49, 2.04
