epoch, inception_score 
0, 1.48
1, 1.53
2, 1.49
3, 1.56
4, 1.69
5, 1.61
6, 1.57
7, 1.57
8, 1.63
9, 1.66
10, 1.72
11, 1.7
12, 1.69
13, 1.72
14, 1.61
15, 1.56
16, 1.78
17, 1.72
18, 1.86
19, 1.9
20, 1.71
21, 1.98
22, 1.88
23, 1.74
24, 1.75
25, 1.93
26, 1.76
27, 1.76
28, 1.95
29, 1.78
30, 1.79
31, 2.01
32, 1.88
33, 1.92
34, 1.85
35, 2.0
36, 1.94
37, 1.93
38, 2.01
39, 1.82
40, 1.97
41, 1.94
42, 2.02
43, 2.09
44, 1.94
45, 1.99
46, 1.87
47, 2.01
48, 1.85
49, 1.95
